product_name,category,subcategory,brand,price,cost
BrandB Headphones 86,Electronics,Headphones,BrandB,204.99,136.29
Generic Apparel 87,Sports,Apparel,Generic,25.9,13.07
BrandB Shoes 88,Clothing,Shoes,BrandB,174.32,102.0
BrandC Fiction 89,Books,Fiction,BrandC,169.4,78.55
Generic Furniture 90,Home,Furniture,Generic,368.53,147.88
BrandB Equipment 91,Sports,Equipment,BrandB,74.25,38.34
Generic Non-Fiction 92,Books,Non-Fiction,Generic,367.1,195.26
BrandB Headphones 93,Electronics,Headphones,BrandB,173.4,70.96
BrandB Headphones 94,Electronics,Headphones,BrandB,171.33,109.48
Generic Furniture 95,Home,Furniture,Generic,266.3,168.68
Generic Shoes 96,Clothing,Shoes,Generic,159.12,104.53
BrandB Decor 97,Home,Decor,BrandB,209.8,107.0
BrandC Pants 98,Clothing,Pants,BrandC,98.66,47.82
BrandA Decor 99,Home,Decor,BrandA,291.64,127.31
BrandC Accessories 100,Sports,Accessories,BrandC,229.48,96.87
BrandA Smartphones 101,Electronics,Smartphones,BrandA,219.55,95.52
BrandA Shoes 102,Clothing,Shoes,BrandA,459.97,187.39
BrandB Fiction 103,Books,Fiction,BrandB,101.36,56.48
BrandC Headphones 104,Electronics,Headphones,BrandC,159.09,67.95
Generic Appliances 105,Home,Appliances,Generic,121.82,60.02
BrandB Furniture 106,Home,Furniture,BrandB,295.32,176.06
BrandC Shirts 107,Clothing,Shirts,BrandC,49.01,24.71
BrandA Fiction 108,Books,Fiction,BrandA,208.79,116.65
BrandB Equipment 109,Sports,Equipment,BrandB,356.56,151.01
BrandC Laptops 110,Electronics,Laptops,BrandC,31.93,20.56
BrandB Furniture 111,Home,Furniture,BrandB,240.93,152.36
Generic Smartphones 112,Electronics,Smartphones,Generic,27.71,14.54
BrandA Non-Fiction 113,Books,Non-Fiction,BrandA,45.76,24.35
BrandA Educational 114,Books,Educational,BrandA,157.86,78.96
BrandA Furniture 115,Home,Furniture,BrandA,344.32,162.89
BrandB Fiction 116,Books,Fiction,BrandB,321.61,179.81
BrandC Fiction 117,Books,Fiction,BrandC,166.88,96.29
BrandC Educational 118,Books,Educational,BrandC,123.12,66.29
BrandA Equipment 119,Sports,Equipment,BrandA,238.99,147.34
BrandA Decor 120,Home,Decor,BrandA,327.24,191.66
Generic Decor 121,Home,Decor,Generic,49.52,23.55
BrandC Apparel 122,Sports,Apparel,BrandC,95.37,49.62
BrandA Headphones 123,Electronics,Headphones,BrandA,228.86,148.74
BrandC Fiction 124,Books,Fiction,BrandC,131.31,55.29
BrandC Accessories 125,Sports,Accessories,BrandC,289.55,177.61
BrandB Smartphones 126,Electronics,Smartphones,BrandB,433.28,198.94
BrandB Smartphones 127,Electronics,Smartphones,BrandB,299.67,132.09
BrandA Appliances 128,Home,Appliances,BrandA,444.72,186.95
BrandC Smartphones 129,Electronics,Smartphones,BrandC,392.47,158.84
BrandC Furniture 130,Home,Furniture,BrandC,157.82,85.02
BrandC Accessories 131,Sports,Accessories,BrandC,323.64,131.58
BrandC Accessories 132,Sports,Accessories,BrandC,107.63,54.78
Generic Equipment 133,Sports,Equipment,Generic,213.39,133.13
BrandC Furniture 134,Home,Furniture,BrandC,168.48,109.3
Generic Apparel 135,Sports,Apparel,Generic,236.4,153.91
BrandC Decor 136,Home,Decor,BrandC,310.38,164.08
BrandA Shoes 137,Clothing,Shoes,BrandA,280.57,177.61
BrandA Laptops 138,Electronics,Laptops,BrandA,383.19,163.27
BrandC Furniture 139,Home,Furniture,BrandC,83.14,45.65
BrandC Smartphones 140,Electronics,Smartphones,BrandC,29.77,17.37
Generic Fiction 141,Books,Fiction,Generic,374.96,162.05
BrandA Educational 142,Books,Educational,BrandA,170.14,95.97
Generic Laptops 143,Electronics,Laptops,Generic,301.49,183.83
BrandB Educational 144,Books,Educational,BrandB,32.59,17.85
BrandC Educational 145,Books,Educational,BrandC,78.4,49.15
BrandA Pants 146,Clothing,Pants,BrandA,151.1,78.0
BrandB Educational 147,Books,Educational,BrandB,173.08,94.1
BrandB Accessories 148,Sports,Accessories,BrandB,284.09,115.4
BrandC Equipment 149,Sports,Equipment,BrandC,156.32,69.24
Generic Laptops 150,Electronics,Laptops,Generic,207.2,124.49
Generic Headphones 151,Electronics,Headphones,Generic,88.62,58.1
BrandC Apparel 152,Sports,Apparel,BrandC,336.6,139.94
BrandB Accessories 153,Sports,Accessories,BrandB,157.14,93.38
Generic Accessories 154,Sports,Accessories,Generic,339.52,195.02
BrandC Non-Fiction 155,Books,Non-Fiction,BrandC,248.57,133.1
Generic Equipment 156,Sports,Equipment,Generic,321.96,149.41
BrandC Apparel 157,Sports,Apparel,BrandC,440.95,193.99
BrandB Educational 158,Books,Educational,BrandB,172.77,85.13
BrandC Educational 159,Books,Educational,BrandC,267.86,115.14
BrandA Appliances 160,Home,Appliances,BrandA,139.48,63.37
Generic Appliances 161,Home,Appliances,Generic,226.5,96.06
BrandC Educational 162,Books,Educational,BrandC,367.05,175.18
Generic Pants 163,Clothing,Pants,Generic,315.14,131.46
BrandB Fiction 164,Books,Fiction,BrandB,289.93,178.69
BrandC Smartphones 165,Electronics,Smartphones,BrandC,193.83,90.26
BrandC Headphones 166,Electronics,Headphones,BrandC,31.43,20.09
Generic Shoes 167,Clothing,Shoes,Generic,421.33,181.64
BrandC Laptops 168,Electronics,Laptops,BrandC,285.19,164.43
BrandA Shoes 169,Clothing,Shoes,BrandA,91.84,50.39
BrandB Appliances 170,Home,Appliances,BrandB,199.22,126.7
BrandC Laptops 171,Electronics,Laptops,BrandC,315.96,141.71
BrandA Appliances 172,Home,Appliances,BrandA,239.0,113.97
BrandB Non-Fiction 173,Books,Non-Fiction,BrandB,112.21,58.32
BrandB Fiction 174,Books,Fiction,BrandB,348.4,177.62
BrandA Furniture 175,Home,Furniture,BrandA,405.43,169.05
BrandB Equipment 176,Sports,Equipment,BrandB,113.01,54.35
Generic Appliances 177,Home,Appliances,Generic,375.05,183.66
BrandB Furniture 178,Home,Furniture,BrandB,310.77,150.82
Generic Accessories 179,Sports,Accessories,Generic,138.57,76.46
BrandC Educational 180,Books,Educational,BrandC,295.8,177.87
BrandB Accessories 181,Sports,Accessories,BrandB,45.07,22.76
Generic Apparel 182,Sports,Apparel,Generic,116.47,67.28
BrandB Laptops 183,Electronics,Laptops,BrandB,158.31,82.42
BrandB Appliances 184,Home,Appliances,BrandB,429.33,199.99
BrandA Decor 185,Home,Decor,BrandA,492.89,197.84
BrandA Non-Fiction 186,Books,Non-Fiction,BrandA,255.95,103.02
BrandC Laptops 187,Electronics,Laptops,BrandC,306.11,182.25
BrandB Laptops 188,Electronics,Laptops,BrandB,324.67,171.99
Generic Apparel 189,Sports,Apparel,Generic,199.28,105.2
Generic Accessories 190,Sports,Accessories,Generic,32.17,19.9
BrandB Fiction 191,Books,Fiction,BrandB,167.04,82.04
BrandC Educational 192,Books,Educational,BrandC,155.2,85.2
BrandA Equipment 193,Sports,Equipment,BrandA,246.57,158.64
BrandC Smartphones 194,Electronics,Smartphones,BrandC,21.67,11.82
BrandA Fiction 195,Books,Fiction,BrandA,177.4,89.6
BrandA Non-Fiction 196,Books,Non-Fiction,BrandA,406.76,172.26
BrandC Fiction 197,Books,Fiction,BrandC,272.61,135.25
BrandB Non-Fiction 198,Books,Non-Fiction,BrandB,257.33,132.72
Generic Equipment 199,Sports,Equipment,Generic,143.27,90.59
BrandB Decor 200,Home,Decor,BrandB,344.43,187.05
Generic Accessories 201,Sports,Accessories,Generic,258.57,127.86
Generic Headphones 202,Electronics,Headphones,Generic,293.57,144.3
Generic Appliances 203,Home,Appliances,Generic,210.73,114.82
BrandB Headphones 204,Electronics,Headphones,BrandB,382.06,160.13
Generic Educational 205,Books,Educational,Generic,275.53,180.8
BrandA Equipment 206,Sports,Equipment,BrandA,87.57,37.75
BrandA Pants 207,Clothing,Pants,BrandA,256.67,116.6
BrandC Pants 208,Clothing,Pants,BrandC,114.03,54.05
BrandA Decor 209,Home,Decor,BrandA,126.11,64.08
BrandC Headphones 210,Electronics,Headphones,BrandC,175.72,116.87
BrandC Fiction 211,Books,Fiction,BrandC,93.45,43.07
BrandC Non-Fiction 212,Books,Non-Fiction,BrandC,436.83,187.0
BrandA Laptops 213,Electronics,Laptops,BrandA,164.58,80.98
Generic Smartphones 214,Electronics,Smartphones,Generic,173.41,71.84
BrandC Decor 215,Home,Decor,BrandC,150.33,61.14
Generic Non-Fiction 216,Books,Non-Fiction,Generic,429.12,190.52
BrandB Shirts 217,Clothing,Shirts,BrandB,189.47,111.41
BrandB Decor 218,Home,Decor,BrandB,221.14,130.02
BrandA Laptops 219,Electronics,Laptops,BrandA,276.29,147.74
BrandC Equipment 220,Sports,Equipment,BrandC,254.23,163.73
BrandC Apparel 221,Sports,Apparel,BrandC,226.86,125.48
Generic Shoes 222,Clothing,Shoes,Generic,113.47,58.54
Generic Smartphones 223,Electronics,Smartphones,Generic,338.31,138.18
Generic Decor 224,Home,Decor,Generic,422.48,175.86
BrandA Educational 225,Books,Educational,BrandA,97.17,38.87
BrandC Equipment 226,Sports,Equipment,BrandC,339.51,142.17
BrandA Decor 227,Home,Decor,BrandA,248.83,132.16
BrandB Accessories 228,Sports,Accessories,BrandB,123.32,54.93
BrandA Shirts 229,Clothing,Shirts,BrandA,362.64,172.99
BrandC Equipment 230,Sports,Equipment,BrandC,109.17,60.68
BrandA Laptops 231,Electronics,Laptops,BrandA,279.47,160.54
BrandA Non-Fiction 232,Books,Non-Fiction,BrandA,255.0,105.03
BrandB Appliances 233,Home,Appliances,BrandB,410.85,185.89
Generic Appliances 234,Home,Appliances,Generic,354.35,159.68
BrandA Fiction 235,Books,Fiction,BrandA,313.63,151.16
BrandB Accessories 236,Sports,Accessories,BrandB,157.41,101.78
BrandC Shirts 237,Clothing,Shirts,BrandC,36.15,16.61
BrandB Fiction 238,Books,Fiction,BrandB,224.59,117.35
Generic Decor 239,Home,Decor,Generic,459.32,194.66
BrandB Pants 240,Clothing,Pants,BrandB,304.72,149.0
BrandA Educational 241,Books,Educational,BrandA,155.3,77.78
Generic Appliances 242,Home,Appliances,Generic,207.25,116.71
Generic Educational 243,Books,Educational,Generic,290.31,158.56
BrandA Accessories 244,Sports,Accessories,BrandA,261.64,139.15
BrandC Pants 245,Clothing,Pants,BrandC,248.1,159.19
BrandC Decor 246,Home,Decor,BrandC,248.45,101.04
BrandA Equipment 247,Sports,Equipment,BrandA,339.32,182.28
BrandB Headphones 248,Electronics,Headphones,BrandB,390.29,179.74
Generic Headphones 249,Electronics,Headphones,Generic,45.09,22.34
BrandA Educational 250,Books,Educational,BrandA,200.4,99.91
BrandC Smartphones 251,Electronics,Smartphones,BrandC,28.83,15.03
BrandC Headphones 252,Electronics,Headphones,BrandC,82.73,36.94
BrandC Fiction 253,Books,Fiction,BrandC,50.17,25.93
BrandB Headphones 254,Electronics,Headphones,BrandB,22.91,13.02
BrandC Equipment 255,Sports,Equipment,BrandC,134.18,56.2
BrandC Decor 256,Home,Decor,BrandC,35.76,20.43
BrandC Equipment 257,Sports,Equipment,BrandC,163.84,79.69
Generic Appliances 258,Home,Appliances,Generic,389.92,179.88
BrandA Appliances 259,Home,Appliances,BrandA,230.13,106.31
BrandB Appliances 260,Home,Appliances,BrandB,374.02,190.19
Generic Accessories 261,Sports,Accessories,Generic,29.76,18.87
BrandC Shoes 262,Clothing,Shoes,BrandC,88.62,38.94
BrandB Appliances 263,Home,Appliances,BrandB,354.2,152.95
BrandA Headphones 264,Electronics,Headphones,BrandA,230.27,134.05
BrandC Pants 265,Clothing,Pants,BrandC,220.96,127.77
BrandA Headphones 266,Electronics,Headphones,BrandA,44.86,19.02
BrandC Educational 267,Books,Educational,BrandC,24.43,13.45
BrandB Headphones 268,Electronics,Headphones,BrandB,93.0,40.84
BrandA Decor 269,Home,Decor,BrandA,247.08,163.63
BrandA Educational 270,Books,Educational,BrandA,260.7,134.64
BrandA Accessories 271,Sports,Accessories,BrandA,469.87,192.11
BrandB Non-Fiction 272,Books,Non-Fiction,BrandB,111.88,50.4
BrandC Appliances 273,Home,Appliances,BrandC,224.33,112.92
BrandB Apparel 274,Sports,Apparel,BrandB,35.44,20.48
BrandB Pants 275,Clothing,Pants,BrandB,34.39,14.2
Generic Equipment 276,Sports,Equipment,Generic,22.84,13.84
Generic Apparel 277,Sports,Apparel,Generic,132.74,53.95
BrandC Pants 278,Clothing,Pants,BrandC,276.05,112.31
Generic Accessories 279,Sports,Accessories,Generic,41.97,22.95
Generic Laptops 280,Electronics,Laptops,Generic,236.06,112.27
BrandA Shirts 281,Clothing,Shirts,BrandA,204.24,121.45
BrandB Shirts 282,Clothing,Shirts,BrandB,101.98,61.31
BrandA Furniture 283,Home,Furniture,BrandA,204.49,100.05
BrandC Non-Fiction 284,Books,Non-Fiction,BrandC,254.01,137.21
BrandB Equipment 285,Sports,Equipment,BrandB,260.25,114.58
Generic Furniture 286,Home,Furniture,Generic,322.92,131.69
Generic Decor 287,Home,Decor,Generic,316.61,188.87
BrandC Fiction 288,Books,Fiction,BrandC,209.03,118.73
BrandC Headphones 289,Electronics,Headphones,BrandC,364.83,158.93
BrandB Accessories 290,Sports,Accessories,BrandB,311.0,156.68
BrandB Accessories 291,Sports,Accessories,BrandB,118.12,64.41
BrandA Fiction 292,Books,Fiction,BrandA,369.9,190.1
BrandA Educational 293,Books,Educational,BrandA,389.86,195.27
BrandC Smartphones 294,Electronics,Smartphones,BrandC,87.47,44.18
BrandB Appliances 295,Home,Appliances,BrandB,424.0,188.1
Generic Fiction 296,Books,Fiction,Generic,368.28,171.94
BrandC Pants 297,Clothing,Pants,BrandC,196.34,105.07
BrandA Shirts 298,Clothing,Shirts,BrandA,146.93,88.61
Generic Shirts 299,Clothing,Shirts,Generic,162.25,66.37
Generic Educational 300,Books,Educational,Generic,119.9,50.96
Generic Appliances 301,Home,Appliances,Generic,27.52,14.81
BrandA Equipment 302,Sports,Equipment,BrandA,306.24,199.94
BrandB Furniture 303,Home,Furniture,BrandB,76.96,49.67
Generic Appliances 304,Home,Appliances,Generic,297.27,181.77
BrandC Shoes 305,Clothing,Shoes,BrandC,180.3,80.0
BrandB Appliances 306,Home,Appliances,BrandB,59.27,33.96
BrandC Shirts 307,Clothing,Shirts,BrandC,39.37,19.36
Generic Equipment 308,Sports,Equipment,Generic,257.75,133.3
Generic Shirts 309,Clothing,Shirts,Generic,420.54,172.92
BrandC Appliances 310,Home,Appliances,BrandC,54.0,34.65
Generic Appliances 311,Home,Appliances,Generic,249.52,116.31
BrandA Non-Fiction 312,Books,Non-Fiction,BrandA,237.29,118.35
BrandC Fiction 313,Books,Fiction,BrandC,182.1,77.24
BrandC Shoes 314,Clothing,Shoes,BrandC,69.08,32.36
BrandB Accessories 315,Sports,Accessories,BrandB,306.06,158.13
BrandC Fiction 316,Books,Fiction,BrandC,337.65,141.71
Generic Non-Fiction 317,Books,Non-Fiction,Generic,30.92,16.52
BrandC Appliances 318,Home,Appliances,BrandC,131.63,78.63
BrandB Laptops 319,Electronics,Laptops,BrandB,37.23,15.12
BrandC Pants 320,Clothing,Pants,BrandC,28.03,13.96
BrandA Apparel 321,Sports,Apparel,BrandA,385.58,170.05
BrandB Fiction 322,Books,Fiction,BrandB,201.95,82.03
Generic Equipment 323,Sports,Equipment,Generic,34.48,20.67
BrandC Furniture 324,Home,Furniture,BrandC,173.15,112.35
BrandA Shirts 325,Clothing,Shirts,BrandA,129.6,74.83
Generic Smartphones 326,Electronics,Smartphones,Generic,178.43,118.05
Generic Non-Fiction 327,Books,Non-Fiction,Generic,105.03,49.8
BrandA Pants 328,Clothing,Pants,BrandA,198.77,110.1
BrandA Appliances 329,Home,Appliances,BrandA,252.52,146.79
BrandA Appliances 330,Home,Appliances,BrandA,54.8,36.23
BrandC Shirts 331,Clothing,Shirts,BrandC,60.99,26.96
BrandA Accessories 332,Sports,Accessories,BrandA,33.4,21.29
BrandB Apparel 333,Sports,Apparel,BrandB,169.47,70.83
BrandA Non-Fiction 334,Books,Non-Fiction,BrandA,224.89,103.49
BrandB Fiction 335,Books,Fiction,BrandB,192.5,108.92
BrandC Fiction 336,Books,Fiction,BrandC,451.02,187.33
BrandC Accessories 337,Sports,Accessories,BrandC,327.88,169.03
BrandA Shoes 338,Clothing,Shoes,BrandA,312.57,136.5
BrandC Laptops 339,Electronics,Laptops,BrandC,217.79,102.75
Generic Apparel 340,Sports,Apparel,Generic,162.14,69.23
Generic Laptops 341,Electronics,Laptops,Generic,114.58,49.65
Generic Equipment 342,Sports,Equipment,Generic,346.07,157.14
BrandB Non-Fiction 343,Books,Non-Fiction,BrandB,382.17,158.14
BrandA Shirts 344,Clothing,Shirts,BrandA,390.28,166.76
BrandC Equipment 345,Sports,Equipment,BrandC,235.26,141.16
BrandC Appliances 346,Home,Appliances,BrandC,361.1,198.12
BrandC Appliances 347,Home,Appliances,BrandC,63.29,38.46
Generic Fiction 348,Books,Fiction,Generic,73.6,35.48
BrandC Pants 349,Clothing,Pants,BrandC,319.05,153.02
Generic Decor 350,Home,Decor,Generic,239.14,146.93
Generic Shirts 351,Clothing,Shirts,Generic,19.28,10.19
BrandB Headphones 352,Electronics,Headphones,BrandB,300.31,169.19
Generic Shoes 353,Clothing,Shoes,Generic,262.43,114.85
BrandA Non-Fiction 354,Books,Non-Fiction,BrandA,165.73,86.36
Generic Non-Fiction 355,Books,Non-Fiction,Generic,248.92,155.62
BrandB Equipment 356,Sports,Equipment,BrandB,287.35,121.36
BrandC Laptops 357,Electronics,Laptops,BrandC,350.22,154.53
BrandB Pants 358,Clothing,Pants,BrandB,210.44,112.2
BrandA Shoes 359,Clothing,Shoes,BrandA,58.61,32.28
BrandA Non-Fiction 360,Books,Non-Fiction,BrandA,158.85,97.44
BrandA Non-Fiction 361,Books,Non-Fiction,BrandA,131.15,63.3
BrandB Appliances 362,Home,Appliances,BrandB,120.62,71.6
BrandC Decor 363,Home,Decor,BrandC,164.47,103.56
BrandA Educational 364,Books,Educational,BrandA,38.64,24.82
BrandC Educational 365,Books,Educational,BrandC,174.17,88.56
BrandB Laptops 366,Electronics,Laptops,BrandB,289.07,137.43
Generic Headphones 367,Electronics,Headphones,Generic,326.23,165.19
BrandC Equipment 368,Sports,Equipment,BrandC,481.63,198.09
Generic Laptops 369,Electronics,Laptops,Generic,160.8,99.59
BrandB Pants 370,Clothing,Pants,BrandB,227.21,130.48
Generic Shoes 371,Clothing,Shoes,Generic,316.28,184.18
BrandC Furniture 372,Home,Furniture,BrandC,332.96,180.86
BrandB Apparel 373,Sports,Apparel,BrandB,85.13,35.13
BrandC Appliances 374,Home,Appliances,BrandC,136.77,57.83
BrandC Shoes 375,Clothing,Shoes,BrandC,266.04,126.75
BrandA Educational 376,Books,Educational,BrandA,57.39,24.38
Generic Smartphones 377,Electronics,Smartphones,Generic,33.48,20.85
BrandA Educational 378,Books,Educational,BrandA,302.66,130.88
BrandA Pants 379,Clothing,Pants,BrandA,154.7,68.35
Generic Headphones 380,Electronics,Headphones,Generic,210.61,84.4
BrandC Headphones 381,Electronics,Headphones,BrandC,241.22,149.87
BrandB Accessories 382,Sports,Accessories,BrandB,140.31,78.79
BrandA Furniture 383,Home,Furniture,BrandA,272.19,174.98
BrandB Fiction 384,Books,Fiction,BrandB,170.48,71.97
BrandB Educational 385,Books,Educational,BrandB,437.83,187.51
BrandC Headphones 386,Electronics,Headphones,BrandC,268.38,162.45
Generic Furniture 387,Home,Furniture,Generic,39.45,25.09
Generic Furniture 388,Home,Furniture,Generic,121.77,70.11
BrandA Headphones 389,Electronics,Headphones,BrandA,364.24,180.66
BrandA Appliances 390,Home,Appliances,BrandA,343.31,177.15
BrandC Shoes 391,Clothing,Shoes,BrandC,271.01,161.45
BrandC Decor 392,Home,Decor,BrandC,268.49,126.46
BrandA Fiction 393,Books,Fiction,BrandA,401.18,173.71
BrandC Shirts 394,Clothing,Shirts,BrandC,344.21,166.65
Generic Decor 395,Home,Decor,Generic,63.05,35.8
BrandA Equipment 396,Sports,Equipment,BrandA,102.74,62.11
Generic Non-Fiction 397,Books,Non-Fiction,Generic,267.91,123.16
BrandC Non-Fiction 398,Books,Non-Fiction,BrandC,385.76,196.16
BrandA Furniture 399,Home,Furniture,BrandA,306.42,155.03
BrandC Laptops 400,Electronics,Laptops,BrandC,150.98,90.61
BrandA Equipment 401,Sports,Equipment,BrandA,198.59,96.83
BrandA Equipment 402,Sports,Equipment,BrandA,287.68,167.08
BrandB Fiction 403,Books,Fiction,BrandB,280.84,130.06
BrandB Furniture 404,Home,Furniture,BrandB,54.09,32.85
Generic Non-Fiction 405,Books,Non-Fiction,Generic,64.55,30.19
BrandC Appliances 406,Home,Appliances,BrandC,372.67,186.31
BrandC Decor 407,Home,Decor,BrandC,353.19,149.86
BrandB Non-Fiction 408,Books,Non-Fiction,BrandB,31.32,13.26
Generic Smartphones 409,Electronics,Smartphones,Generic,124.85,58.92
BrandB Smartphones 410,Electronics,Smartphones,BrandB,253.96,146.12
Generic Shoes 411,Clothing,Shoes,Generic,155.06,74.23
Generic Fiction 412,Books,Fiction,Generic,250.94,106.48
BrandB Apparel 413,Sports,Apparel,BrandB,47.51,19.65
BrandA Educational 414,Books,Educational,BrandA,71.67,41.57
Generic Appliances 415,Home,Appliances,Generic,340.99,155.78
BrandB Non-Fiction 416,Books,Non-Fiction,BrandB,47.35,19.32
BrandA Pants 417,Clothing,Pants,BrandA,224.3,115.24
BrandB Accessories 418,Sports,Accessories,BrandB,141.12,71.88
BrandA Pants 419,Clothing,Pants,BrandA,143.13,87.02
BrandC Accessories 420,Sports,Accessories,BrandC,441.14,188.15
BrandB Smartphones 421,Electronics,Smartphones,BrandB,156.45,82.05
BrandA Fiction 422,Books,Fiction,BrandA,402.11,185.19
Generic Accessories 423,Sports,Accessories,Generic,379.23,184.56
BrandB Appliances 424,Home,Appliances,BrandB,246.64,106.53
BrandC Accessories 425,Sports,Accessories,BrandC,150.0,87.07
BrandB Shirts 426,Clothing,Shirts,BrandB,323.56,149.85
Generic Shoes 427,Clothing,Shoes,Generic,274.35,119.85
Generic Educational 428,Books,Educational,Generic,166.05,102.09
BrandA Headphones 429,Electronics,Headphones,BrandA,138.17,61.46
